Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,'39227534180452,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPlush toy with an internal natural rubber skeleton.\n•\tIndicated to small and medium size dogs that like to chew.\n•\t2 ways of playing: first a plush toy, then a chew toy.\n•\tExterior plush reinforced with a mesh fabric.\n•\tInternal skeleton made of non-toxic rubber.\n•\tToys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","""\\* \\tBrinco de pelúcia com esqueleto interior feito de latex natural.\n\\* \\tIndicado para cachorros pequenos e médios que adereçam.\n\\* \\t2 formas de brincar: primeiro um brinco de pelúcia, depois um brinco de dente.\n\\* \\tExterior do brinco de pelúcia reforçado com uma teia técnica.\n\\* \\tEsqueleto interno feito de latex não tóxico.\n\\* \\tBrincos não são indestrutíveis, cachorros sempre devem ser supervisionados quando brincam."""
METAFIELD,'39227534213220,value,pt-PT,,,"mr. x","Sr. X"
METAFIELD,'39227534245988,value,pt-PT,,,"[""Green"",""Black"",""Pink""]","[""Verde"",""Preto"",""Rosa""]"
METAFIELD,'39227534278756,value,pt-PT,,,"gid://shopify/MediaImage/26981638406244",""
METAFIELD,'39227534311524,value,pt-PT,,,"[""gid://shopify/MediaImage/26981640372324"",""gid://shopify/MediaImage/26981640437860"",""gid://shopify/MediaImage/26981640831076"",""gid://shopify/MediaImage/26981640929380""]",""
METAFIELD,'39227616755812,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPlush toy with an internal natural rubber skeleton.\n•\tIndicated to small and medium size dogs that like to chew.\n•\t2 ways of playing: first a plush toy, then a chew toy.\n•\tExterior plush reinforced with a mesh fabric.\n•\tInternal skeleton made of non-toxic rubber.\n•\tToys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","""\\* \\tBrinco de pelúcia com esqueleto interior feito de latex natural.\n\\* \\tIndicado para cachorros pequenos e médios que adereçam.\n\\* \\t2 formas de brincar: primeiro um brinco de pelúcia, depois um brinco de dente.\n\\* \\tExterior do brinco de pelúcia reforçado com uma teia técnica.\n\\* \\tEsqueleto interno feito de latex não tóxico.\n\\* \\tBrincos não são indestrutíveis, cachorros sempre devem ser supervisionados quando brincam."""
METAFIELD,'39227616788580,value,pt-PT,,,"cyclops","unicolo"
METAFIELD,'39227616821348,value,pt-PT,,,"[""Red"",""Yellow""]","[""Vermelho"",""Amarelo""]"
METAFIELD,'39227616854116,value,pt-PT,,,"gid://shopify/MediaImage/26981649219684",""
METAFIELD,'39227616886884,value,pt-PT,,,"[""gid://shopify/MediaImage/26981651382372"",""gid://shopify/MediaImage/26981651415140"",""gid://shopify/MediaImage/26981652103268"",""gid://shopify/MediaImage/26981652136036""]",""
METAFIELD,'39227765260388,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Made of plush fabric with reinforced stitching.\n-Toys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Feito de tecido de pelúcia com enfiado reforçado.\n-Brincadeiras não são indestrutíveis, cães devem ser sempre supervisionados ao jogar.""}]}]}"
METAFIELD,'39227765293156,value,pt-PT,,,"ghim","""ghim"" → ""gím"" (Mantendo a capitalização e o caractere como está no original, pois não é técnico)"
METAFIELD,'39227765325924,value,pt-PT,,,"[""Red"",""Black"",""Yellow"",""Green""]","[""Vermelho"",""Preto"",""Amarelo"",""Verde""]"
METAFIELD,'39227765358692,value,pt-PT,,,"gid://shopify/MediaImage/26981668814948",""
METAFIELD,'39227843641444,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Made of plush fabric with reinforced stitching.\n-Toys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Feito de tecido de pelúcia com enfiado reforçado.\n-Brincadeiras não são indestrutíveis, cães devem ser sempre supervisionados ao jogar.""}]}]}"
METAFIELD,'39227843674212,value,pt-PT,,,"stixx","stixx"
METAFIELD,'39227880800356,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Made of plush fabric with reinforced stitching.\n-Toys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Feito de tecido de pelúcia com enfiado reforçado.\n-Brincadeiras não são indestrutíveis, cães devem ser sempre supervisionados ao jogar.""}]}]}"
METAFIELD,'39227880833124,value,pt-PT,,,"bubu","bubu"
METAFIELD,'39227880865892,value,pt-PT,,,"[""Green"",""Blue""]","[""Verde"",""Azul""]"
METAFIELD,'39227880898660,value,pt-PT,,,"gid://shopify/MediaImage/26981683495012",""
METAFIELD,'39227912683620,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% made of nylon.\n-Bacon scent.\n-Perfect for dogs that like to chew.\n-Easy catch format.\n-Textured surface.\n-For small size dogs.\n-Dimensions: 90 x 39 x 28 mm.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% feito de nylon.\n-Odor de bacon.\n-Perfeito para cães que gostam de morder.\n-Formato fácil de pegar.\n-Superfície texturizada.\n-Para cães de tamanho pequeno.\n-Medidas: 90 x 39 x 28 mm.\n""}]}]}"
METAFIELD,'39227943288932,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% made of nylon.\n-Bacon scent.\n-Perfect for dogs that like to chew.\n-Easy catch format.\n-Textured surface.\n-For small size dogs.\n-Dimensions: 180 x 99 x 40 mm.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% feito de nylon.\n-Odores de lombo de porco.\n-Ideal para cães que gostam de morder.\n-Formato fácil de pegar.\n-Superfície texturizada.\n-Para cães de pequeno porte.\n-Medidas: 180 x 99 x 40 mm.""}]}]}"
METAFIELD,'39227960459364,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% made of nylon.\n-Bacon scent.\n-Perfect for dogs that like to chew.\n-Easy catch format.\n-Textured surface.\n-For large size dogs.\n-Dimensions: 150 x 150 x 166 mm.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% feito de poliamida.\n-Olho de bacalhau.\n-Perfeito para cães que gostam de mastigar.\n-Formato fácil de pegar.\n-Superfície texturizada.\n-Para cães de grande tamanho.\n-Medidas: 150 x 150 x 166 mm.""}]}]}"
METAFIELD,'39227989295204,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% made of nylon.\n-Bacon scent.\n-Perfect for dogs that like to chew.\n-Easy catch format.\n-Textured surface.\n-For small size dogs.\n-Dimensions: 150 x 52 x 45 mm.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-100% feito de nylon.\n-Cheiro a bacon.\n- Ideal para cães que gostam de morder.\n-Formato fácil de pegar.\n-Superfície texturizada.\n-Para cães de tamanho pequeno.\n-Medidas: 150 x 52 x 45 mm.""}]}]}"
METAFIELD,'39228110798948,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For small and medium-sized dogs that love to chew;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super-durable, non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Textured surface helps clean teeth during play and contributes to controlling plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Bacon scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Features small cavities for filling with creamy treats: perfect for training and reducing anxiety;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Measurements: 14cm in width and 4.5cm in height.\nWeight: 145g""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães pequenos e de tamanho médio que adoram morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricado em nylon super-resistente e não tóxico para satisfazer o instinto natural de morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Superfície texturizada ajuda a limpar as dentes durante o jogo e contribui para o controle da placa e tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Aroma de bacon para manter seu cachorro interessado;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Apresenta pequenas cavidades para enchender com tratos cremosos: perfeito para o treinamento e reduzir a ansiedade;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Medidas: 14cm de largura e 4,5cm de altura.\nPeso: 145g""}]}]}]}"
METAFIELD,'39228110831716,value,pt-PT,,,"wrench","chave de ferramenta"
METAFIELD,'39228110864484,value,pt-PT,,,"[""Brown""]","[""Marrom""]"
METAFIELD,'39228110897252,value,pt-PT,,,"gid://shopify/MediaImage/26981719441508",""
METAFIELD,'39228246982756,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For medium and large dogs that enjoy chewing;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super-resistant, non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Textured surface that helps clean teeth during play and contributes to controlling plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Bacon scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Features small cavities to fill with creamy treats: perfect for training and reducing anxiety;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dimensions: 8.5 cm wide and 18.5 cm tall;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""No toy is indestructible, and play should be supervised.""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães de médio e grande porte que gostam de morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricado em nylon superresistente e não tóxico para satisfazer o instinto de morder natural;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Superfície texturizada que ajuda a limpar dentes durante o jogo e contribui para controlar a placa e tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cheiro de bacon para manter o seu cachorro interessado;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Apresenta pequenas cavidades para preencher com tratos cremosos: perfeito para treinamento e redução de ansiedade;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dimensões: 8,5 cm largo e 18,5 cm alto;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nenhum brinquedo é indestrutível, e o jogo deve ser supervisionado.""}]}]}]}"
METAFIELD,'39228247015524,value,pt-PT,,,"hammer","martelo"
METAFIELD,'39228247048292,value,pt-PT,,,"[""Brown""]","[""Marrom""]"
METAFIELD,'39228247081060,value,pt-PT,,,"gid://shopify/MediaImage/26981729763428",""
METAFIELD,'39228331360356,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For large dogs that enjoy chewing;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super-resistant, non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Textured surface that helps clean teeth during play and contributes to controlling plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Bacon scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Features small cavities to fill with treats: perfect for training and reducing anxiety;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dimensions: 24 cm wide and 11 cm tall;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""No toy is indestructible, and play should be supervised.""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães grandes que gostam de morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricado em nylon superresistente e não tóxico para satisfazer o instinto de morder natural;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Superfície texturizada que ajuda a limpar os dentes durante o jogo e contribui para controlar placa e tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Arome de bacon para manter o seu cão interessado;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Apresenta pequenas cavidades para preenchimento de réguas: perfeito para treinamento e redução da ansiedade;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dimensões: 24 cm largo e 11 cm alto;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nenhum brinquedo é indestrutível, e o jogo deve ser supervisionado.""}]}]}]}"
METAFIELD,'39228331393124,value,pt-PT,,,"key wrench","chave de fenda"
METAFIELD,'39228331425892,value,pt-PT,,,"[""Brown""]","[""Marrom""]"
METAFIELD,'39228331458660,value,pt-PT,,,"gid://shopify/MediaImage/26981744541796",""
METAFIELD,'39228451881060,value,pt-PT,,,"brain dead","vivo mentalmente falto"
METAFIELD,'39228451913828,value,pt-PT,,,"[""Pink"",""Green""]","[""Rosado"",""Verde""]"
METAFIELD,'39228451946596,value,pt-PT,,,"gid://shopify/MediaImage/26981756665956",""
METAFIELD,'39228481929316,value,pt-PT,,,"brain freeze","gelo de cérebro"
METAFIELD,'39228481962084,value,pt-PT,,,"[""Blue""]","[""Azul""]"
METAFIELD,'39228481994852,value,pt-PT,,,"gid://shopify/MediaImage/26981761384548",""
METAFIELD,'39228523774052,value,pt-PT,,,"brain fried","cerebro confuso"
METAFIELD,'39228523806820,value,pt-PT,,,"[""Yellow""]","[""Amarelo""]"
METAFIELD,'39228523839588,value,pt-PT,,,"gid://shopify/MediaImage/26981768527972",""
METAFIELD,'39230044078180,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For medium and large dogs that love to chew;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super durable non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cleans teeth during play and helps control plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""With a mint scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""No toy is indestructible, and playtime should be supervised.""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães de tamanho médio e grande que adoram morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricado em nylon super resistente e não tóxico para satisfazer o instinto natural de morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Limpa dentes durante o jogo e ajudará a controlar a placa e a tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Com um cheiro de menta para manter o interesse do seu cachorro;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nenhum brinquedo é indestrutível, e o jogo deve ser supervisionado.""}]}]}]}"
METAFIELD,'39230044110948,value,pt-PT,,,"hooky dooky","gatinho galinhola"
METAFIELD,'39230044143716,value,pt-PT,,,"[""Black""]","[""Preto""]"
METAFIELD,'39230044176484,value,pt-PT,,,"gid://shopify/MediaImage/26982014976100",""
METAFIELD,'39230089592932,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For medium and large dogs that love to chew;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super durable non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cleans teeth during play and helps control plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""With a banana scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Measurements: 22cm in height and 7cm in width;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""No toy is indestructible, and playtime should be supervised.""}]}]}]}","{""type"":""root"",""children"":[{""type"":""list"",""listType"":""unordered"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães de médio e grande porte que adoram morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricado em material durável não tóxico de nylon para satisfazer o instinto de mordida natural;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Limpa dentes durante o jogo e ajuda a controlar a placa e a tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Com um cheiro de banana para manter o seu cachorro interessado;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Medidas: 22cm de altura e 7cm de largura;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nenhum brinquedo é indestrutível, e o jogo deve ser supervisionado.""}]}]}]}"
METAFIELD,'39230089625700,value,pt-PT,,,"hooky frutty","frutos atolados"
METAFIELD,'39230089658468,value,pt-PT,,,"[""Yellow""]","[""Amarelo""]"
METAFIELD,'39230089691236,value,pt-PT,,,"gid://shopify/MediaImage/26982023364708",""
METAFIELD,'39230166040676,value,pt-PT,,,"{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""For medium and large dogs that love to chew;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Made of super durable non-toxic nylon to satisfy the natural chewing instinct;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Cleans teeth during play and helps control plaque and tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""With a bubblegum scent to keep your dog interested;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Measurements: 22cm in height and 7cm in width;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""No toy is indestructible, and playtime should be supervised.""}]}]}]}","{""type"":""root"",""children"":[{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Para cães de tamanho médio e grande que adorem morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Fabricados em nylon super resistente e não tóxico para satisfazer o instinto natural de morder;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Limpa dentes durante a brincadeira e ajuda a controlar a placa e tartar;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Com um cheiro à goma de mascar para manter o seu cachorro interessado;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Medidas: 22cm de altura e 7cm de largura;""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Nenhum brinquedo é indestrutível, e a brincadeira deve ser supervisionada.""}]}]}]}"
METAFIELD,'39230166073444,value,pt-PT,,,"hooky spooky","pastanchudo espantapássaros"
METAFIELD,'39230166106212,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'39230166138980,value,pt-PT,,,"gid://shopify/MediaImage/26982033424484",""
METAFIELD,'39230228299876,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% made of nylon.\n•\tPerfect for dogs that like to chew.\n•\tEasy catch format.\n•\tTextured surface.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% feito de nylon.\n•\tIdeal para cães que gostam de morder.\n•\tFormato fácil de capturar.\n•\tSuperfície texturizada.""}]}]}"
METAFIELD,'39230228332644,value,pt-PT,,,"banana","abacaxi"
METAFIELD,'39230228365412,value,pt-PT,,,"[""Yellow""]","[""Amarelo""]"
METAFIELD,'39230228398180,value,pt-PT,,,"gid://shopify/MediaImage/26982040862820",""
METAFIELD,'39230287511652,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% made of nylon.\n•\tPerfect for dogs that like to chew.\n•\tEasy catch format.\n•\tTextured surface.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% feito de nylon.\n•\tIdeal para cães que gostam de morder.\n•\tFormato fácil de capturar.\n•\tSuperfície texturizada.""}]}]}"
METAFIELD,'39230287544420,value,pt-PT,,,"orange","laranja"
METAFIELD,'39230287577188,value,pt-PT,,,"[""Orange""]","[""Laranja""]"
METAFIELD,'39230287609956,value,pt-PT,,,"gid://shopify/MediaImage/26982045646948",""
METAFIELD,'39230333190244,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% made of nylon.\n•\tPerfect for dogs that like to chew.\n•\tEasy catch format.\n•\tTextured surface.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\t100% feito de nylon.\n•\tIdeal para cães que gostam de morder.\n•\tFormato fácil de capturar.\n•\tSuperfície texturizada.""}]}]}"
METAFIELD,'39230333223012,value,pt-PT,,,"pear","pera"
METAFIELD,'39230333255780,value,pt-PT,,,"[""Green""]","[""Verde""]"
METAFIELD,'39230333288548,value,pt-PT,,,"gid://shopify/MediaImage/26982055182436",""
METAFIELD,'39230424645732,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""\n•\tIndicated for all ages and sizes.\n•\tMade with non-toxic rubber with a mint scent.\n•\tHas a cavity to fill with snacks: perfect for training and reducing anxiety.\n•\tExtra fun: it floats!\n•\tUnique texture to keep the dog entertained. \n•\tUnpredictable bounces. \n•\tMeasurements: 6,6cm of circumference.\n•\tToys are not indestructible, dogs should always be supervised when playing.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""\n•\tIndicado para todas as idades e tamanhos.\n•\tFabricado com borracha não tóxica com um cheiro de menta.\n•\tPossui uma cavidade para preenchimento com picotas: perfeito para treino e redução do ansiedade.\n•\tExtra divertido: flutua!\n•\tTextura única para manter o cachorro entretenido. \n•\tBounces inesperados.\n•\tMedidas: 6,6cm de circunferência.\n•\tOs brinquedos não são indestrutíveis, os cachorros deveriam sempre ser supervisionados quando estão a brincar.\n""}]}]}"
METAFIELD,'39230424678500,value,pt-PT,,,"rob","rob"
METAFIELD,'39230424711268,value,pt-PT,,,"[""Yellow""]","[""Amarelo""]"
METAFIELD,'39230424744036,value,pt-PT,,,"gid://shopify/MediaImage/26982070124644",""
METAFIELD,'39230592352356,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoop bag dispenser to attach to the leash handle.\n•\tWith a clasp and a clip to help the dispenser stay in place.\n•\tEasy to fit in the Zee.Dog poop bags.\n•\tNever get caught off guard in the street.\n•\tAlways pick up after your dog.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tDispensador de bolhas para enfeitar ao mango do laço.\n•\tCom uma agarradagem e um presilho para ajudar o dispensador permanecer em lugar.\n•\tFacíl de se encaixar nas bolhas de residuos de cachorro Zee.Dog.\n•\tNunca ficar sem preparo na rua.\n•\tSempre limpar após o seu cachorro.\n""}]}]}"
METAFIELD,'39230704517220,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoop bag dispenser to attach to the leash handle.\n•\tWith a clasp and a clip to help the dispenser stay in place.\n•\tEasy to fit in the Zee.Dog poop bags.\n•\tNever get caught off guard in the street.\n•\tAlways pick up after your dog.\n\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tDispensador de sacos de lixo para fixar ao manche do biscoito.\n•\tCom um fechacão e uma pinça para ajudar o dispensador ficar em lugar.\n•\tFácil de se ajustar nos sacos de lixo Zee.Dog.\n•\tNunca fique desprevenido na rua.\n•\tSempre limpe após seu cachorro.""}]}]}"
METAFIELD,'39230851645540,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Composition: PBAT70% + PLA5% + ST25%.\n-4 rolls with 15 bags each.\n-Orange scent.\n-Leaking proof.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Composição: PBAT70% + PLA5% + ST25%.\n-4 rodadas com 15 bolas cada.\n-Cheiro a laranja.\n-Comprovado contra as leituras.\n""}]}]}"
METAFIELD,'39230986256484,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatible with the Apple AirTag.\n•\tMade of silicon.\n•\tWith handles attachable to collars and harnesses.\n•\tAvailable in 3 colors.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatível com o Apple AirTag.\n•\tFeito de silicone.\n•\tCom luvas adesivas para colares e correias.\n•\tDisponível em 3 cores.\n""}]}]}"
METAFIELD,'39231001690212,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatible with the Apple AirTag.\n•\tMade of silicon.\n•\tWith handles attachable to collars and harnesses.\n•\tAvailable in 3 colors.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatível com o Apple AirTag.\n•\tFeito de silicone.\n•\tCom luvas adesivas para colares e correias.\n•\tDisponível em 3 cores.\n""}]}]}"
METAFIELD,'39231026462820,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatible with the Apple AirTag.\n•\tMade of silicon.\n•\tWith handles attachable to collars and harnesses.\n•\tAvailable in 3 colors.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tCompatível com o Apple AirTag.\n•\tFeito de silicone.\n•\tCom luvas adesivas para colares e correias.\n•\tDisponível em 3 cores.\n""}]}]}"
METAFIELD,'39231092883556,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Compatible with the Apple AirTag.\n-Made of silicon.\n-With handles attachable to collars and harnesses.\n-Available in 3 colors.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Compatível com o Apple AirTag.\n-Feito de silicone.\n-Com handles atacháveis a collares e harnesses.\n-Disponível em 3 cores.""}]}]}"
